Stephen Jay Gould|Creation science has not entered the curriculum for a reason so simple and so basic that we often forget to mention it: because it is false, and because good teachers understand exactly why it is false. What could be more destructive of that most fragile yet most precious commodity in our entire intellectual heritage -- good teaching -- than a bill forcing honorable teachers to sully their sacred trust by granting equal treatment to a doctrine not only known to be false, but calculated to undermine any general understanding of science as an enterprise?
Woody Allen|If God exists, I hope he has a good excuse 
Annie Dillard, 'Pilgrim at Tinker Creek'|Eskimo: "If I did not know about God and sin, would I go to hell?" Priest: "No, not if you did not know." Eskimo: "Then why did you tell me?" 
Unknown|"If god doesn't like the way I live, Let him tell me, not you." 
Richard Dawkins|Religion is unusual among divisible labels in being spectacularly unnecessary. If religious beliefs had any evidence going for them, we might had to respect them in spite of their concomitant unpleasantness. But there is no such evidence. To label people as death-deserving enemies because of disagreements about real world politics is bad enough. To do the same for disagreements about a delusional world inhabited by archangels, demons and imaginary friends is ludicrously tragic.
Carl Sagan|Atheism is more than just the knowledge that gods do not exist, and that religion is either a mistake or a fraud. Atheism is an attitude, a frame of mind that looks at the world objectively, fearlessly, always trying to understand all things as a part of nature
Bertrand Russell|So far as I can remember, there is not one word in the Gospels in praise of intelligence 
Frater Ravus|Faith does not give you the answers, it just stops you asking the questions. 
Bob Snuka|I refuse to believe in a god that would send me to hell just for not believing in him. 
David Brooks (The Necessity of Atheism)|To explain the unknown by the known is a logical procedure; to explain the known by the unknown is a form of theological lunacy 
Unknown|Deaths in the Bible. God - 2,270,365 not including  the victims of Noah's flood, Sodom and Gomorrah, or the many plagues, famines, fiery serpents, etc because no specific numbers were given. Satan - 10 
Unknown|Doesn't it bother you that you put more logical thought into choosing a car than you do in choosing a god? 
Peter O\'Toole (The Ruling Class)|Everything is more or less organized matter. To think so is against religion, but I think so just the same. When did I realize I was God? Well, I was praying and I suddenly realized I was talking to myself 
Penn Jillette|Believing there is no God gives me more room for belief in family, people, love, truth, beauty, sex, Jell-o, and all the other things I can prove and that make this life the best life I will ever have. 
Susan B. Anthony|I distrust those people who know so well what God wants them to do because I notice it always coincides with their own desires. 
Robert G. Ingersoll|Why should I allow that same God to tell me how to raise my kids, who had to drown His own? 
Friedrich Nietzsche|"Faith" means not wanting to know what is true. 
Thomas Paine|All national institutions of churches, whether Jewish, Christian or Turkish, appear to me no other than human inventions, set up to terrify and enslave mankind, and monopolize power and profit. 
Chapman Cohen|Gods are fragile things; they may be killed by a whiff of science or a dose of common sense 
Stephen King|The beauty of religious mania is that it has the power to explain everything. Once God (or Satan) is accepted as the first cause of everything which happens in the mortal world, nothing is left to chance...logic can be happily tossed out the window 
Rev. Ron|Without God, life is everything. 
Albert Einstein|Two things are infinite: the universe and human stupidity; and I'm not sure about the the universe. 
Voltaire|God is a comedian playing to an audience too afraid to laugh. 
One of Murphy's laws|A man without religon is like a fish without a bicycle 
Gypsy Rose Lee|Praying is like a rocking chair-- it'll give you something to do, but it won't get you anywhere 
Ed Krebs|The World is divided into armed camps ready to commit genocide just because we can't agree on whose fairy tales to believe. 
Robert G. Ingersoll|The inspiration of the bible depends on the ignorance of the person who reads it 
HSM|The Christian god makes man human, then burns him when he acts like one. 
Frank Zappa|The essence of Christianity is told us in the Garden of Eden history. The fruit that was forbidden was on the tree of knowledge. The subtext is, All the suffering you have is because you wanted to find out what was going on. 
unknown|Blasphemy is a victimless crime 
Carl Sagan|Life is but a momentary glimpse of the wonder of the astonishing universe, and it is sad to see so many dreaming it away on spiritual fantasy. 
Richard Dawkins|Religious faith not only lacks evidence, its independence from evidence is its pride and joy, shouted from the rooftops. 
Taslima Nasrin|Koranic teaching still insists that the sun moves around the earth. How can we advance when they teach things like that? 
Salvador Dali|Thank god I'm an atheist... 
Josh Charles|Why would some all powerful being create creatures capable of reason and then demand that they act in a manner contrary to their creation? 
Thomas D. Pate|And on the trillionth day, Man created Gods. 
Mark Twain|It ain't the parts of the Bible that I can't understand that bother me, it is the parts that I do understand 
Lenny Bruce|If Jesus had been killed 20 years ago, Catholic school children would be wearing little Electric Chairs around their necks instead of crosses 
Bumper sticker|Stop lying to children - Break the cycle of religion 
Daniel Boorstin|The greatest obstacle to discovery is not ignorance -- it is the illusion of knowledge. 
Pope Leo X|It has served us well, this myth of Christ. 
Robert M. Pirsig|When one person suffers from a delusion, it is called insanity.  When many people suffer from a delusion it is called Religion. 
Robert G. Ingersoll|Christianity did not come with tidings of great joy, but with a message of eternal grief. It came with the threat of everlasting torture on its lips. It meant war on earth and perdition hereafter 
Sam Harris|Whenever a man imagines that he need only believe the truth of a proposition, without evidence - that unbelievers will go to hell, that Jews drink the blood of infants - he becomes capable of anything 
School Superintendent on "The Simpsons" episode #1|Prayer has no place in the public schools, just like facts have no place in organized religion. 
Richard Dawkins|I am against religion because it teaches us to be satisfied with not understanding the world. 
Jean Meslier|Man will never be free until the last king is strangled with the entrails of the last priest. 
Unknown|"Faith is to the human what sand is to the ostrich." 
George Carlin|Christians worship a dead Jew on a stick. 
Frank Zappa|If you wind up with a boring, miserable life because you listened to your mom, your dad, your teacher, your priest or some guy on TV telling you how to do your shit, then YOU DESERVE IT. 
The First Amendment|Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the government for a 
Stendhal|All religions are founded on the fear of the many and the cleverness of the few. 
Nick Kinnan|Children are born without religion, don't give them your nerosis. 
Jesse Ventura|Religion is a crutch for the weak minded. 
Charles Stonehouse V|The existance of G W Bush is the proof against intelligent design. 
Karl Marx|Religion is the sigh of the oppressed creature, the heart of a heartless world, & the soul of soulless conditions. It is the opium of the people 
Oscar Wilde|When I think of all the harm the Bible has done, I despair of ever writing anything to equal it. 
John Adams|This would be the best of all possible worlds, if there were no religions in it. 
Friedrich Nietzsche|Convictions are more dangerous enemies of truth than lies. 
Isaac Asimov|Humanity has the stars in its future, and that future is too important to be lost under the burden of juvenile folly and ignorant superstition 
Kozy|If all exclusive religions are right and everyone else is wrong, isn't everyone just wrong? 
John Buchan|An atheist is a man who has no invisible means of support. 
Robert A. Heinlein|One man’s theology is another man’s belly laugh. 
Robert M. Price|Who needs Satan when you have a God like this? 
Mimoun Raddahi|It's better to live in freedom for one life time than to be a slave of God for an eternity. 
Thomas Jefferson|Shake off all the fears of servile prejudices, under which weak minds are servilely crouched. Fix reason firmly in her seat, and call on her tribunal for every fact, every opinion. Question with boldness even the existence of a God; because, if there be one, he must more approve of the homage of reason than that of blindfolded fear
Mark Twain|I do not fear death, in view of the fact that I had been dead for billions and billions of years before I was born, and had not suffered the slightest inconvenience from it. 
Ambrose Bierce|Pray, v.: To ask that the laws of the universe be annulled on behalf of a single petitioner confessedly unworthy. 
unknown|Atheism is a non-prophet organization. 
Dan Fouts|I'm a polyatheist - there are many gods I don't believe in. 
Thomas Jefferson, 1823|The day will come when the mystical generation of Jesus…will be classed with the fable of the generation of Minerva in the brain of Jupiter. 
Richard Dawkins|We are all atheists about most of the gods that societies have ever believed in. Some of us just go one god further. 
Friedrich Nietzsche|In Christianity neither morality nor religion come into contact with reality at any point 
Karl Marx|Religion is the Opiate of the masses. 
Wilfredo Hernandez|All churchs beat the devil good, but they are very carefull not to kill him! 
Robert G. Ingersoll|"With soap, baptism is a good thing." 
Michael|A good king inspires loyalty.  An evil tyrant demands blind obediance.  A good king allows those who do not want to serve him leave in peace.  An evil tyrant kills and tortures those who will not be slaves.  This is why I could never be christian. 
H. L. Mencken|I believe that religion, generally speaking, has been a curse to mankind--that its modest and greatly overestimated services on the ethical side have been more than overcome by the damage it has done to clear and honest thinking. 
Sir Arthur C. Clarke|It is a truism that almost any sect, cult, or religion will legislate its creed into law if it acquires the political power to do so. 
Stephen Hawking|The intelligent beings in these regions should therefore not be surprised if they observe that their locality in the universe satisfies the conditions that are necessary for their existence. It is a bit like a rich person living in a wealthy neighborhood not seeing any poverty
Robert G. Ingersoll|God has always resembled his creators. He hated and loved what they hated and loved and he was invariably found on the side of those in power. Most of the gods were pleased with sacrifice, and the smell of innocent blood has ever been considered a divine perfume
Robert G. Ingersoll|In Nature, there are neither rewards nor punishments, there are consequences. 
Nogard|If god created my brain I'm certain he approves of its usage. 
Penn Jillette|Believing there is no God gives me more room for belief in family, people, love, truth, beauty, sex, Jell-o, and all the other things I can prove and that make this life the best life I will ever have. 
Mark Twain|Faith is believing what you know ain't so. 
Daryl Elliott|"All religions are cults of varying degrees." 
James Randi|Gods are children's blankets that get carried over into adulthood. 
Christopher Hitchens|What can be asserted without proof can be dismissed without proof 
Cogito|How difficult would it be for 11 men to hang a traitor, move a boulder, remove a body, and replace said boulder within a period of three days? 
Frank Zappa|Scientology, how about that?  You hold on to the tin cans and then this guy asks you a bunch of questions, and if you pay enough money you get to join the master race. How's that for a religion? 
H. L. Mencken|"Puritanism- The haunting fear that someone, somewhere, may be happy." 
Voltaire|It is difficult to free fools from the chains they revere. 
Rick Reynolds|As far as I can tell from studying the scriptures, all you do in heaven is pretty much just sit around all day and praise the Lord. I don't know about you, but I think that after the first, oh, I don't know, 50,000,000 years of that I'd start to get a little bored.
Robert A. Heinlein|The most preposterous notion that H. Sapiens has ever dreamed up is that the Lord God of Creation, Shaper and Ruler of all the Universes, wants the saccharine adoration of His creatures, can be swayed by their prayers, and becomes petulant if He does 
Eric Williams|Religion serves men as blinders serve horses. 
Frank Zappa|"Children are naïve -- they trust everyone. School is bad enough, but, if you put a child anywhere in the vicinity of a church, you're asking for trouble." 
William S. Burroughs|Life is a vacation from two eternities, who wants to waste those precious years worrying about what happens when you get back to forever? 
KANT|The death of dogma is the birth of reality. 
Sigmund Freud|"When a man is freed of religion, he has a better chance to live a normal and wholesome life." 
44th President Dem-To-Be-Named-Later United States|He who says "The United States is a Christian nation founded upon Christian principles and beliefs" is woefully ignorant of history.  The United States was founded by Deists, and the puritan settlers were but one immigrant group among many. 
Napolean Bonaparte|There must be Religion.  Otherwise the poor would murder the rich. 
Michael Stanton|Living in fear or judgement is not how I will spend my life.  Realizing that this life is all I get and your life is all you get, brings a need to make the best of all possible. 
Robert G. Ingersoll|Take from the church the miraculous, the supernatural, the incomprehensible, the unreasonable, the impossible, the unknowable, the absurd, and nothing but a vacuum remains 
Suresh|Theists should never complain no matter what happens in the world because nothing happens without the almighty's will. So if I break your head, murder your kin, dont blame me. God made me to do it. 
W.C.Fields|Prayers never bring anything... They may bring solace to the sap, the bigot, the ignorant, the aboriginal, and the lazy - but to the enlightened it is the same as asking Santa Claus to bring you something for Xmas 
Nogard|A religious text should ideally not extend past three pages. Any longer and it tends to contradict itself. 
Yiddish saying quoted by Steven Pinker|If God lived on earth people would break his windows 
Steven Weinberg|With or without religion, you would have good people doing good things and evil people doing evil things. But for good people to do evil things, that takes religion. 
British comedian (sorry I forgot the name)|When I was a child I had an imaginary friend to whom I talked. Then I grew up and became an atheist. 
Richard Van Harris|There are three kinds of people:  those who seek the truth as revealed by a higher authority; those who seek the truth as defined by rational enquiry; and the vast majority, who believe whatever they find convenient. 
Ravikiran R|As long as  you need an external entity to give credit to for wonderful things that happen to you or to blame for ugly things that happen to you, you need God 
Albert Einstein|Why do you write to me "God should punish the English"? I have no close connection to either one or the other. I see only with deep regret that God punishes so many of His children for their numerous stupidities, for which only He Himself can be held 
Bob Snuka|I refuse to believe in a god that would send me to hell just for not believing in him. 
Ed Martin|Hell would be to have to spend eternity in a Heaven with those who are sure they are going there. 
Unknown|Primates often have trouble imagining a universe not run by an angry alpha male 
God|*silence* 
Richard Dawkins|The God of the Old Testament is arguably the most unpleasant character in all fiction: jealous and proud of it; a petty, unjust, unforgiving control-freak; a vindictive, bloodthirsty ethnic cleanser; a misogynistic, homophobic, racist, infanticidal, genocidal, filicidal, pestilential, megalomaniacal, sadomasochistic, capriciously malevolent bully.
Bill Hicks|They believe the bible is the exact word of God - Then they change the bible! Pretty presumptuous, hu huh? "I think what God meant to say..." 
unknown|if triangles had a god, He would have three sides 
Andrew Simpson|If I wanted to spend my life believing in something - it would be myself. 
Albert Einstein|Since our inner experiences consist of reproductions, and combinations of sensory impressions, the concept of a soul without a body seem to me to be empty and devoid of meaning 
H. L. Mencken|Religion is "so absurd that it comes close to imbecility." 
John Adams, 2nd US President|The Government of the United States is in no sense founded on the Christian religion. 
unknown|"Who created god? If your answer is he always was, then why can't you say the same for the universe?" 
Gene Roddenberry|They said God was on high and he controlled the world and therefore we must pray against Satan. Well, if God controls the world, he controls Satan. For me, religion was full of misstatements and reaches of logic that I just couldn't agree with 
George Carlin|Interstingly enough, I have found that the prayers I offer to the sun and the prayers I formerly offered to God ar all answered at about the same 50% rate 
unknown|God made me an atheist 
Bumper sticker|Born right the first time 
sir David stevens|Its 90 degrees in the shade in jerusalem.. where did noah get two penguins and two polar bears from? 
Cobra32|I never understood religion until I witnessed a shackled man being beaten into submission.  "Trust me," said the torturer, "when you tell me what I want to hear, the suffering will stop." 
Frank Zappa|A mind is like a parachute. It doesnt work if it not open. 
Benito Il DUCA Mussolini|Religion is man-made to assist in controlling the weak minded individuals because during times of atrocity and despair they feel strength in numbers 
Mimoun Raddahi|Religion is a limitation on your freedom. 
Judith Hayes|If we are going to teach creation science as an alternative to evolution, then we should also teach the stork theory as an alternative to biological reproduction. 
Issac Asimov|Creationists don't want equal time; they want all the time there is. 
unknown|The Bible has fingerprints all over it.  And none of them are God-sized. 
Rich Rodriguez|In 1000 years we will all be Atheist or we will no longer be. 
Jean-Paul Sartre|Existentialism isn't so atheistic that it wears itself out showing that God doesn't exist.  Rather, it declares that even if God did exist, that would change nothing. 
John Kelly  Ireland|Who are the bigger fool's, those who are born stupid or those who choose stupidity? 
Albert Einstein|The contemplation of this world beckoned as a liberation (...) The road to this paradise was not as comfortable and alluring as the road to the religious paradise; but it has shown itself reliable, and I have never regretted having chosen it 
Ed Martin|The most common explanation given for death and destruction attributed to "Acts of God" is that God is unknowable and beyond human understanding.  That also happens to be the very best description there is for what does not exist. 
Satish Babu|Today's wars are not about good vs. bad--they are about *your* good vs. my good. Religion is perhaps the most potent meme that creates, fosters and justifies these divisions. 
James Madison, 1785|What have been [Christianity’s] fruits? More or less in all places, pride and indolence in the Clergy, ignorance and servility in the laity; in both, superstition, bigotry and persecution. 
bumper sticker|question everything or believe anything 
Joe|My sister once claimed she spun out of control into oncoming traffic. When she looked up, she was in the opposite lane and unharmed. She said that the hand of God moved from one lane into the other - to save her. I replied, "If the hand of God cannot prevent genocide in Rwanda, then it can not move you so as to save your life."
Jon Stewart (Daily Show)|Religion. It's given people hope in a world torn apart by religion. 
Bryan Emmanuel Gutierrez|God should be executed for crimes against humanity. 
gramma red|"On the first day, man created God." 
unknown|The only thing we become after death is fertilizer 
The War Prayer : by Mark Twain|O Lord our God, help us to tear their bodies to bloody shreds with our shells; help us to cover their smiling fields with the pale forms of their patriot dead; help us to drown the thunder of the guns with the shrieks of their wounded. 
Rich Rodriguez|It is very difficult to reason someone out of a position they did not reason themselves into. 
Scoob|Watch people pray.  Most people do it with their eyes closed, and this should tell you something. 
Steve Buscemi "The Island"|What's "God"? Well, you know, when you want something really bad and you close your eyes and you wish for it? God's the guy that ignores you. 
Bill Hicks|People ask me what I think about that woman priest thing. What, a woman priest? Women priests. Great, great. Now there's priests of both sexes I don't listen to. 
John Kelly  Ireland|Religious people and donkey's: A donkey is a simple creature it would follow a carrot on a stick, but it is still capable, even with its most basic of intellect of determining when there is no carrot. 
Geoff Mather|To say that atheism requires faith is as dim-witted as saying that disbelief in pixies or leprechauns takes faith. Even if Einstein himself told me there was an elf on my shoulder, I would still ask for proof and I wouldn't be wrong to ask. 
Bumper sticker|Nothing Fails Like Prayer 
Geoff Mather|It's a pity Jesus remained so silent before his accusers. He could have said: "Oh, by the way guys,  no-one should ever kill, torture, maim, burn alive or commit genocide in my name." If he'd been a god he could have saved us all a lot of pain. 
John Kelly  Ireland|God is my shepard: - Only sheep need a shepard 
Victor Hugo|There is in every village a torch - the teacher; and an extinguisher- the clergyman 
Geoff Mather|Can I just pin you down a little here? What exactly IS a god? You don't know. What is it made of? You don't know. Where is it? You don't know. You learnt about it from a Bronze Age book that claims truth for itself. And at your parents' knee. Is that where your outrageous certainty comes from?
Tao Te Ching|The more prohibitions you have, the less virtuous people will be. 
someone|The only church that enlightens is the one that's in fire 
Linda|So why do I have to go to church to pray?  If there is a god can't he hear me at my house? 
Bertrand Russell|I would never die for my beliefs because I might be wrong. 
Unkown|Abstinence Makes the Church Grow Fondlers 
Nicholas Humphrey|In a dangerous world there will always be more people around whose prayers for their own safety have been answered than those whose prayers have not. 
Ambrose Bierce|Religion, n: A daughter of Hope and Fear, explaining to Ignorance the nature of the Unknowable. 
Haili|God is Santa for adults... 
Dracos|Religion is the leading cause of death throughout history. 
Sir Arthur C. Clarke|Creationism, perhaps the most pernicious of the intellectual perversions now afflicting the American public. 
James Madison|What has been Christianity's fruits? Supersition, Bigotry and Persecution 
Frank Zappa|Just remember that there is a big difference between knealing down and bending over. 
René Descartes|If you would be a real seeker after truth, it is necessary that at least once in your life you doubt, as far as possible, all things. 
Casey Yano|God did not create us. It is us that created God. 
David Viaene|Gods dont kill people. People with Gods kill people 
Patrick Timothy Kirk|As stated many times: "Those whom have faith are happier then those without."  Of course this is true!  Have you never heard..." ignorance is bliss?" 
Sean|Religion was created to comfort mankind when faced with his own lack of immortality. 
Zoltan X4J|Seeing a cross or a crucifix, to me,  is a symbol of death and agony.  Its not really the symbol I want tattooed on me, or worn on a chain. 
Coluche|The Pope doesn't believe in God; Did you ever see a conjurer who believed in Magic ? 
Treaty of Tipoli (Joel Barlow)|Art. 11. As the Government of the United States of America is not, in any sense, founded on the Christian religion; as it has in itself no character of enmity against the laws, religion, or tranquillity, of Mussulmen; and, as the said States never entered into any war, or act of hostility against any Mahometan nation, it is declared by the parties, that no pretext arising from religious opinions, shall ever produce an interruption of the harmony existing between the two countries.This treaty was endorsed by George Washington before he left office.  It was then officially endorsed by John Adams and sent to the senate where it was officially ratified June 10, 1797.
unknown|Religion was created to calm the weak and fearfull about death, and allow them to accept it without panic.  Unfortunately, religion will probably exist until the day we can extend human life.  Thankfully, Science is fast approaching that day. 
L Ron Hubbard|The way to make a million dollars is to start a religion 
David Attenborough|I often get letters, quite frequently, from people who say how they like the programs a lot, but I never give credit to the almighty power that created nature, to which I reply and say, "Well, it's funny that the people, when they say that this is of the almighty, always quote beautiful things, they always quote orchids and hummingbirds and butterflies and roses." But I always have to think too of a little boy sitting on the banks of a river in west Africa who has a worm boring through his eyeball, turning him blind before he's five years old, and I reply and say, "Well presumably the god you speak about created the worm as well," and now, I find that baffling to credit a merciful god with that action, and therefore it seems to me safer to show things that I know to be truth, truthful and factual, and allow people to make up their own minds about the moralities of this thing, or indeed the theology of this thing."
Robert Green Ingersoll (1833-1899)|“The church has always been willing to swap off treasures in heaven for cash down.” 
Stelios|Religion is purelly a man-made form of power and authority...for those who control it of course. Just ask yourself what the ten commandments are. 
Thomas Jefferson|"Millions of innocent men, women, and children, since the introduction of Christianity, have been burned, tortured, fined, and imprisoned, yet we have not advanced one inch toward uniformity. What has been the effect of coercion? To make one half of 
Michael DeRousselle|The intensity of your religious conviction is inversely proportional to your grip on reality. 
Clark Adams|If Atheism is a religion, then health is a disease! 
Madalyn Murray O'Hair|Religion has caused more misery to all of mankind in every stage of human history than any other single idea. 
Bob Dylan|You don't count the dead, when god's on your side 
R Reboulet|It is impossible to convince some children that there is no Santa Claus.  They do not fully grasp reality. 
Dr. Nathanial Branden|Anyone who engages in the practice of psycho-therapy confronts every day the devastation wrought by the teachings of religion. 
Gandhi|"Faith... Must be enforced by reason...When faith becomes blind it dies." 
Ambrose Bierce|Religions are conclusions for which the facts of nature supply no major premises 
Bertrand Russell|Many orthodox people speak as though it were the business of sceptics to disprove received dogmas rather than of dogmatists to prove them. This is, of course, a mistake. If I were to suggest that between the Earth and Mars there is a china teapot revolving about the sun in an elliptical orbit, nobody would be able to disprove my assertion provided I were careful to add that the teapot is too small to be revealed even by our most powerful telescopes. But if I were to go on to say that, since my assertion cannot be disproved, it is intolerable presumption on the part of human reason to doubt it, I should rightly be thought to be talking nonsense. If, however, the existence of such a teapot were affirmed in ancient books, taught as the sacred truth every Sunday, and instilled into the minds of children at school, hesitation to believe in its existence would become a mark of eccentricity and entitle the doubter to the attentions of the psychiatrist in an enlightened age or of the Inquisitor in an earlier time.
Thomas Jefferson|"Question with boldness even the existence of God; because, if there be one, he must more approve of the homage of reason than that of blindfolded fear." 
Pretentious|If God created everything, he created evil.  Who is He to call us sinners? 
George Bernard Shaw|No man ever believes that the Bible means what it says; he is always convinced that it says what he means. 
andyc|you could spend a lifetime studying a religion, study two and you will be done within the hour.
Geoff Mather|Some of the nicest, most caring people I've met have been religious - from all sorts of different but incompatible creeds. I don't hate them. I just hate the sad facts that they are wrong, they waste their own time, and they want to grab my kids. 
Woody Allen|Existence for eternity could get a little boring.. especially towards the end. 
Mark Twain|I do not fear death. I had been dead for billions and billions of years before I was born, and had not suffered the slightest inconvenience from it. 
Sir Winston Churchill|Men occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing ever happened. 
Unknown, quoted by Dana Morale|What is the difference between a cult and a religion?  About 100 years. 
Unknown|More people have died in the name of christ than for any other reason - the Inquisition, Crusades, witch hunts, etc.  God must be spinning in his grave. 
Friedrich Nietzsche|I call Christianity the one great curse, the one great intrinsic depravity, the one great instinct of revenge, for which no means are venomous enough, or secret, subterranean and small enough - I call it the one immortal blemish upon the human race. 
Dan|If god was all knowing, would he not know I would become an Atheist? And would he not stop me from becoming one? Or does he want me to goto 'Hell'? 
Shaun|The finality of death is the coldest truth one must face. Religion makes the perfect distraction. 
George Orwell|In a time of universal deceit, telling the truth becomes a revolutionary act 
Albert Einstien|It was, of course, a lie what you read about my religious convictions, a lie which is being systematically repeated. I do not believe in a personal God and I have never denied this but have expressed it clearly. If something is in me which can be called religious then it is the unbounded admiration for the structure of the world so far as our science can reveal it
Ryan Evans|I think, therefore I am athiest 
John Kelly  Ireland|God is Perfect: Perfect beings do not experience anger or suprise towards a sequence of events they knew of in advance. 
XTC (english pop band), "Dear God"|"Did you make mankind after we made you?" 
